2019-07-09 15:50:36 | [verify_onGoingToCancelOrder] | (CancelOrder.java:115) | RESPONSE:{"id":150,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_onGoingToCancelOrder] | (CancelOrder.java:122) | Created New Order - ID - 150
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/150/take
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":150,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:36.9745327Z"}

2019-07-09 15:50:36 | [verify_onGoingToCancelOrder] | (CancelOrder.java:129) | RESPONSE:{"id":150,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:36.9745327Z"}

2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/150/cancel
2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":150,"status":"CANCELLED","cancelledAt":"2019-07-09T10:20:36.999987Z"}

2019-07-09 15:50:37 | [verify_onGoingToCancelOrder] | (CancelOrder.java:140) | RESPONSE:{"id":150,"status":"CANCELLED","cancelledAt":"2019-07-09T10:20:36.999987Z"}

2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/1562667637/cancel
2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"ORDER_NOT_FOUND"}

2019-07-09 15:50:37 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:37 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:37 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":151,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:37 | [verify_CancelOrder_violatedFlow] | (CancelOrder.java:35) | RESPONSE:{"id":151,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:37 | [verify_CancelOrder_violatedFlow] | (CancelOrder.java:42) | Created New Order - ID - 151
2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/151/take
